numero,Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
640,,,Le Ruisseau Burger Joint,75003,France,burger/sur_le_pouce,,,,22 Rue Rambuteau,https://trentetroisdegres.fr/wp-content/uploads/2020/09/95358668_2897986290255105_1741118743444437539_n-e1599860706584.jpg
641,,,Le Ruisseau - Levallois,92300,France,burger/sur_le_pouce,,,,39 Rue Rivay,https://trentetroisdegres.fr/wp-content/uploads/2020/09/95358668_2897986290255105_1741118743444437539_n-e1599860706584.jpg
642,2.3521941,48.8623127,Cinq Fois Plus,75003,France,asiatique,,,,170 Rue Saint-Martin,https://d2ghx89bmumb3r.cloudfront.net/news-upload/2913/cinq-fois-plus-de-piment-paris-restaurant-tdubled-parisbouge-10-858807435.jpg
643,,,Trois Fois Plus de Piment Alésia,75014,France,asiatique,,,,27 Rue Mouton-Duvernet,https://cdn0.centralappstatic.com/api/v1/media/original/place-3403-6oocjqdjh9i6uuivgita.jpeg
644,,,Trois Fois plus de Piment - Saint Martin,75003,France,asiatique,,,,184 Rue Saint-Martin,https://cdn0.centralappstatic.com/api/v1/media/original/place-3403-6oocjqdjh9i6uuivgita.jpeg
645,,,Trois Fois Plus de Piment Levallois,75017,France,asiatique,,,,117 Rue de Tocqueville,https://cdn0.centralappstatic.com/api/v1/media/original/place-3403-6oocjqdjh9i6uuivgita.jpeg
646,,,Trois Fois Plus de Piment Montmartre,75009,France,asiatique,,,,9 Rue Rodier,https://cdn0.centralappstatic.com/api/v1/media/original/place-3403-6oocjqdjh9i6uuivgita.jpeg
647,2.3651585,48.8777917,STREET BANGKOK - Canal,75010,France,asiatique,,,,3 Rue Eugène Varlin,https://lemenu.co/images/a3cd40f8d1ffa8c3ed2c29321c88a750.jpg
648,2.3523557,48.8694325,Hero,75002,France,asiatique,,,,289 Rue Saint-Denis,https://media-cdn.tripadvisor.com/media/photo-s/1b/00/d3/6b/fried-chicken.jpg
649,2.378005,48.8620866,Les Niçois,75011,France,sur_le_pouce/brunch,,,,7 Rue Lacharrière,http://foodandsens.com/wp-content/uploads/2016/09/fa%C3%A7ade.jpg
650,2.3782262,48.861146,La Guinguette d Angèle,75001,France,sur_le_pouce/brunch/vege,,,,34 Rue Coquillière,https://www.lespetitestables.com/wp-content/uploads/La-Guinguette-d-angele-les-petites-tables-devanture.jpg
651,2.3198813,48.8854377,Les frères des Batignolles,75017,France,sur_le_pouce/moyen_orient,,,,45 Rue des Batignolles,https://media-cdn.tripadvisor.com/media/photo-s/12/25/85/0d/photo1jpg.jpg
652,2.3535652,48.87124,Sette Pizza - Faubourg St-Denis,75010,France,italien,,,,38 Rue du Faubourg Saint-Denis,https://www.kikiaparis.fr/wp-content/uploads/2017/07/20401210_10154999305453155_1216505403_n.jpg
653,,,YAYA SECRÉTAN,75019,France,sur_le_pouce/grec,,,,33 Avenue Secrétan,https://media-cdn.tripadvisor.com/media/photo-s/16/71/02/c5/table-de-partage.jpg
654,,,YAYA SAINT-OUEN,93400,France,sur_le_pouce/grec,,,,8 rue de l'Hippodrome,https://www.yonder.fr/sites/default/files/styles/mobile_360x484/public/destinations/A-YAYA-2-HALLE-SECRETAN_2Q2A8683-HD.jpg?itok=wzSYqdbd
655,2.3829094,48.8617983,Yemma - Chemin Vert,75011,France,sur_le_pouce/moyen_orient/brasserie,,,,119 Rue du Chemin Vert,https://media-cdn.tripadvisor.com/media/photo-s/11/7c/d1/e9/photo1jpg.jpg
656,2.3505033,48.8657477,Yemma - Saint Sauveur,75002,France,sur_le_pouce/moyen_orient/brasserie,,,,2 Rue Saint-Sauveur,https://media-cdn.tripadvisor.com/media/photo-s/11/7c/d1/e9/photo1jpg.jpg
657,2.3585082,48.8709495,Le Réfectoire,75010,France,burger/sur_le_pouce,,,,31 Rue du Château d'Eau,https://media-cdn.tripadvisor.com/media/photo-s/0c/f6/b2/db/getlstd-property-photo.jpg
658,2.3492572,48.8754999,Le Tricycle,75010,France,sur_le_pouce/vege/burger/brunch,,,,11 Rue des Petites Écuries,https://media-cdn.tripadvisor.com/media/photo-s/15/03/41/ae/le-tricycle.jpg
659,2.3534227,48.8582675,Homer - all about lobster,75004,France,sur_le_pouce,,,,21 Rue Rambuteau,https://media-cdn.tripadvisor.com/media/photo-s/1d/11/18/0c/lobster-roll-classic.jpg
660,2.3650928,48.8613189,Pontochoux,75003,France,asiatique,,,,18 Rue du Pont aux Choux,https://media-cdn.tripadvisor.com/media/photo-s/15/19/24/6f/photo0jpg.jpg
661,2.3500553,48.8770446,"ENKOR, Cambodian market food",75010,France,asiatique,,,,69 Rue de Chabrol,"https://static.lexpress.fr/medias_11659/w_1793,h_1345,c_crop,x_51,y_0/w_605,h_350,c_fill,g_north/v1509468668/plat-enkor-paris-10_5969582.jpg"
662,2.3459585,48.8690915,Salatim,75002,France,sur_le_pouce/moyen_orient,,,,15 Rue des Jeuneurs,https://www.oubruncher.com/photos1/8221_1.jpg
663,2.3478035,48.8734023,Café Soucoupe,75009,France,brasserie/vege/brunch/coffee_shop,,,,33 Rue du Faubourg Poissonnière,https://cdn.eat-list.fr/establishment/photo/gallery_photo/75010-paris-10/cafe-soucoupe_142012_ca4.jpg
664,2.376084,48.854349,Le Petit Keller,75011,France,brasserie,,,,13 Rue Keller,https://media-cdn.tripadvisor.com/media/photo-s/11/45/2c/18/bento-a-emporter.jpg
665,2.363704,48.86623,Le Pain Vendôme,75003,France,moyen_orient,,,,16 Passage Vendôme,https://www.lespetitestables.com/wp-content/uploads/Le-Pain-Vendome-recap-970x647.jpg
666,,,IPPUDO Louvre,75001,France,asiatique,,,,74-76 rue Jean-Jacques Rousseau,https://www.telerama.fr/sites/tr_master/files/styles/simplecrop1000/public/ippudo03_0_0_0.jpg?itok=eoq48xhL
667,,,IPPUDO Saint-Germain,75006,France,asiatique,,,,14 rue Grégoire de Tours,https://www.telerama.fr/sites/tr_master/files/styles/simplecrop1000/public/ippudo03_0_0_0.jpg?itok=eoq48xhL
668,,,IPPUDO République,75010,France,asiatique,,,,6 place Jacques Bonsergent,https://www.telerama.fr/sites/tr_master/files/styles/simplecrop1000/public/ippudo03_0_0_0.jpg?itok=eoq48xhL
669,2.338068,48.85464,Kodawari Ramen (Yokochō),75006,France,asiatique,,,,29 Rue Mazarine,https://media-cdn.tripadvisor.com/media/photo-s/18/32/3a/91/shoyu-ramen-de-sardine.jpg
670,,,Kodawari Ramen (Tsukiji),75001,France,asiatique,oui,,,12 Rue de Richelieu,https://media-cdn.tripadvisor.com/media/photo-s/18/32/3a/91/shoyu-ramen-de-sardine.jpg
671,2.3348348,48.8671431,Hakata Choten OPERA,75001,France,asiatique,,,,53 Rue des Petits Champs,https://media-cdn.tripadvisor.com/media/photo-s/14/c1/85/9d/photo0jpg.jpg
672,2.3489608,48.8629014,Hakata Choten Les Halles,75001,France,asiatique,,,,16 Rue de la Grande Truanderie,https://media-cdn.tripadvisor.com/media/photo-s/14/c1/85/9d/photo0jpg.jpg
673,2.380291,48.850597,21G Dumpling,75011,France,asiatique,,,,167 Rue du Faubourg Saint-Antoine,https://fr.newtable.com/uploads/medias/restaurants/images/large/5463-photo1.jpg
674,2.3505208,48.8718967,MULKO,75010,France,sur_le_pouce/moyen_orient,,,,29 Rue d'Enghien,https://media-cdn.tripadvisor.com/media/photo-s/13/a8/65/d0/photo1jpg.jpg
675,2.3757282,48.8648855,Bretons Creperie,75011,France,crepes,,,,56 Av. de la République,https://sortir.telerama.fr/sites/tr_master/files/styles/m_plus_640x360/public/assets/images/place/72/84/5/originale.jpg?itok=BkwCUX3c
676,2.3634326,48.869021,Khantine by le petit cambodge,75010,France,asiatique,,,,4 Rue Beaurepaire,https://media-cdn.tripadvisor.com/media/photo-s/08/16/02/90/le-petit-cambodge.jpg
677,,,Le Petit Cambodge,75010,France,asiatique,,,,20 Rue Alibert,https://media-cdn.tripadvisor.com/media/photo-s/08/16/02/90/le-petit-cambodge.jpg
678,2.336845,48.868292,Chez Miki,75002,France,asiatique,,,,5 Rue de Louvois,https://media.timeout.com/images/100007131/image.jpg
679,2.3442057,48.8635584,Café lai'Tcha,75001,France,the/asiatique/neobistrot,,,,7 Rue du Jour,https://www.sortiraparis.com/images/80/83679/432663-cafe-laitcha-a-paris-les-photos-28.jpg
